Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.3872927, 2040-2059, noresm1_m, Oct Anomaly, Nepal, NPL
2.1470284, 2040-2059, noresm1_m, Nov Anomaly, Nepal, NPL
2.2337847, 2040-2059, noresm1_m, Dec Anomaly, Nepal, NPL
1.7363482, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, Nepal, NPL
1.3554237, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, Nepal, NPL
1.5969465, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, Nepal, NPL
1.599493, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, Nepal, NPL
1.4861375, 2040-2059, Ensemble (10th Percentile), May Anomaly, Nepal, NPL
0.80260855, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, Nepal, NPL
-0.038783237, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, Nepal, NPL
0.30209175, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, Nepal, NPL
0.10593316, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, Nepal, NPL
0.5539887, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, Nepal, NPL
1.0733113, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, Nepal, NPL
1.4745994, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, Nepal, NPL
2.5300765, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, Nepal, NPL
2.249159, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, Nepal, NPL
2.3576436, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, Nepal, NPL
2.5629137, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, Nepal, NPL
2.296803, 2040-2059, Ensemble (50th Percentile), May Anomaly, Nepal, NPL
1.8696855, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, Nepal, NPL
1.5245672, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, Nepal, NPL
1.4035338, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, Nepal, NPL
1.5557096, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, Nepal, NPL
1.7285597, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, Nepal, NPL
2.0436525, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, Nepal, NPL
2.256134, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, Nepal, NPL
3.8979707, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, Nepal, NPL
3.5920897, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, Nepal, NPL
4.0140224, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, Nepal, NPL
3.9950352, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, Nepal, NPL
3.9297125, 2040-2059, Ensemble (90th Percentile), May Anomaly, Nepal, NPL
3.084961, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, Nepal, NPL
2.5412076, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, Nepal, NPL
2.8816602, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, Nepal, NPL
2.4260201, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, Nepal, NPL
2.653074, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, Nepal, NPL
2.7826688, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, Nepal, NPL
3.3791478, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, Nepal, NPL
