Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.051, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
0.04072, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
0.02127, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
0.21716, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
0.25019, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
0.41008, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
0.56176, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
0.17477, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
-0.0931, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0275, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.76022, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.4984, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
0.38284, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
0.55254, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
1.52053, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
5.70343, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
9.8762, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
9.05376, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
6.04395, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
1.3497, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.68082, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.78935, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
0.05889, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
2.29671, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
3.83457, 2020-2039, bnu_esm, Annual Anomaly, NPL
3.49445, 2020-2039, canesm2, Annual Anomaly, NPL
1.38602, 2020-2039, ccsm4, Annual Anomaly, NPL
2.17783, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.1935, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-1.22, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
0.7149, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
2.28346, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
1.73341, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
3.80795, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-1.3923, 2020-2039, hadgem2_es, Annual Anomaly, NPL
0.60769, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
2.28632, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
1.24048, 2020-2039, miroc5, Annual Anomaly, NPL
0.96561, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
0.89517, 2020-2039, miroc_esm, Annual Anomaly, NPL
-2.2618, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-1.8075, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-0.4872, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
3.70309, 2020-2039, noresm1_m, Annual Anomaly, NPL
-12.548, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.59764, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
30.4325, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
