Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.0578, 2060-2079, mri_cgcm3, Nov Anomaly, NPL
-2.5509, 2060-2079, mri_cgcm3, Dec Anomaly, NPL
-2.6794, 2060-2079, noresm1_m, Jan Anomaly, NPL
-1.762, 2060-2079, noresm1_m, Feb Anomaly, NPL
-1.252, 2060-2079, noresm1_m, Mar Anomaly, NPL
-0.8336, 2060-2079, noresm1_m, Apr Anomaly, NPL
-2.5554, 2060-2079, noresm1_m, May Anomaly, NPL
-1.384, 2060-2079, noresm1_m, Jun Anomaly, NPL
-0.1507, 2060-2079, noresm1_m, Jul Anomaly, NPL
-0.1091, 2060-2079, noresm1_m, Aug Anomaly, NPL
-1.2348, 2060-2079, noresm1_m, Sep Anomaly, NPL
-1.1571, 2060-2079, noresm1_m, Oct Anomaly, NPL
-1.3189, 2060-2079, noresm1_m, Nov Anomaly, NPL
-1.862, 2060-2079, noresm1_m, Dec Anomaly, NPL
-4.7681, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
-2.8119, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
-2.0325, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
-2.2485, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
-4.247, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
-2.2753, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.3133, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.3288, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
-3.1435, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
-4.9593, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
-2.1331, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
-3.5699, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
-2.4088, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
-1.6706, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
-1.1428, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
-1.0087, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
-2.7071, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
-1.6318, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
-0.293, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
-0.2956, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
-2.0995, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
-1.6159, 2060-2079, Ensemble (50th Percentile), Oct Anomaly, NPL
-1.2758, 2060-2079, Ensemble (50th Percentile), Nov Anomaly, NPL
