FID,id_punto,mes,mes_etiqueta,n_period,period,temp_max_normal,geom
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11ed,42238,2,2,30,1950,22.89,POINT (9489986.590126572 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11ec,42239,2,2,30,1950,20.85,POINT (9545646.335523209 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11eb,42240,2,2,30,1950,17.72,POINT (9601306.080919845 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11ea,42241,2,2,30,1950,13.63,POINT (9656965.826316481 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e9,42242,2,2,30,1950,14.22,POINT (9712625.57171312 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e8,42243,2,2,30,1950,12.02,POINT (9768285.317109756 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e7,41614,2,2,30,1950,24.54,POINT (8933389.136160204 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e6,41615,2,2,30,1950,24.61,POINT (8989048.88155684 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e5,41616,2,2,30,1950,24.56,POINT (9044708.626953477 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e4,41617,2,2,30,1950,22.61,POINT (9100368.372350115 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e3,41618,2,2,30,1950,18.8,POINT (9156028.117746752 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e2,41619,2,2,30,1950,15.73,POINT (9211687.863143386 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e1,41620,2,2,30,1950,14.14,POINT (9267347.608540025 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11e0,41621,2,2,30,1950,14.16,POINT (9323007.353936663 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11df,41622,2,2,30,1950,14.31,POINT (9378667.099333297 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11de,41623,2,2,30,1950,8.22,POINT (9434326.844729934 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11dd,41624,2,2,30,1950,3.17,POINT (9489986.590126572 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11dc,41625,2,2,30,1950,-2.47,POINT (9545646.335523209 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11db,41626,2,2,30,1950,-3.74,POINT (9601306.080919845 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11da,41627,2,2,30,1950,-4.95,POINT (9656965.826316481 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11d9,41628,2,2,30,1950,-1.78,POINT (9712625.57171312 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a380d802b_-11d8,41629,2,2,30,1950,-2.19,POINT (9768285.317109756 3280529.7896193247)
