FID,id_punto,agno,temp_max_anual,geom
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d0e,40347,2007,5.71,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d0f,40347,2008,4.79,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d10,40347,2009,5.72,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d11,40347,2010,5.93,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d12,40347,2011,4.78,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d13,40347,2012,4.66,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d14,40348,2001,5.62,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d15,40348,2002,5.29,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d16,40348,2003,5.42,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d17,40348,2004,5.46,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d18,40348,2005,5.02,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d19,40348,2006,5.42,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d1a,40348,2007,6.02,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d1b,40348,2008,5.05,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d1c,40348,2009,6.05,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d1d,40348,2010,6.2,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d1e,40348,2011,5.09,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d1f,40348,2012,4.95,POINT (9656965.826316481 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d20,40349,2001,4.79,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d21,40349,2002,4.45,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d22,40349,2003,4.52,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d23,40349,2004,4.55,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d24,40349,2005,4.1,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d25,40349,2006,4.51,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d26,40349,2007,5.15,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d27,40349,2008,4.11,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d28,40349,2009,5.22,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d29,40349,2010,5.35,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d2a,40349,2011,4.2,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d2b,40349,2012,4.09,POINT (9712625.57171312 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d2c,40350,2001,3.54,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d2d,40350,2002,3.16,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d2e,40350,2003,3.29,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d2f,40350,2004,3.24,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d30,40350,2005,2.81,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d31,40350,2006,3.21,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d32,40350,2007,3.87,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d33,40350,2008,2.8,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d34,40350,2009,3.98,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d35,40350,2010,4.08,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d36,40350,2011,2.92,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d37,40350,2012,2.8,POINT (9768285.317109756 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d38,40665,2001,22.45,POINT (8933389.136160204 3471454.9819268296)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d39,40665,2002,22.57,POINT (8933389.136160204 3471454.9819268296)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d3a,40665,2003,22.42,POINT (8933389.136160204 3471454.9819268296)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d3b,40665,2004,23.2,POINT (8933389.136160204 3471454.9819268296)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d3c,40665,2005,22.39,POINT (8933389.136160204 3471454.9819268296)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d3d,40665,2006,22.98,POINT (8933389.136160204 3471454.9819268296)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d3e,40665,2007,22.87,POINT (8933389.136160204 3471454.9819268296)
