FID,id_punto,agno,anomalia_temp_min_anual,geom
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_672b,40349,2012,0.38,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_672c,40350,2001,1.38,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_672d,40350,2002,1.21,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_672e,40350,2003,0.97,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_672f,40350,2004,1.46,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6730,40350,2005,1.43,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6731,40350,2006,1.34,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6732,40350,2007,0.95,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6733,40350,2008,0.77,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6734,40350,2009,0.74,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6735,40350,2010,1.01,POINT (9768285.317109756 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6736,40350,2011,0.58,POINT (9768285.317109756 3535725.659799159)
