 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1965     4.3     4.2     3.8     5.0     7.9    13.3    13.5    13.0    11.5     8.4     5.8     4.0     5.6    13.3     8.5     4.5     7.9
 1966     4.1     5.3     4.4     6.1     8.6    11.6    14.1    13.5    12.0     8.1     5.7     4.3     6.4    13.1     8.6     4.3     8.1
 1967     4.0     4.8     4.2     5.1     8.1    12.7    13.4    12.9    11.7     7.8     5.3     4.8     5.8    13.0     8.3     4.1     7.9
 1968     3.9     3.7     4.0     5.1     7.6    10.7    12.9    13.0    11.9     8.0     5.3     4.7     5.5    12.2     8.4     4.4     7.6
 1969     3.8     4.6     5.2     5.7     7.5    12.5    13.1    12.7    11.7     8.4     5.8     4.4     6.1    12.8     8.6     4.2     8.0
 1970     4.2     4.0     4.1     5.6     8.0    10.2    13.2    13.5    12.2     8.4     5.2     4.1     5.9    12.3     8.6     3.9     7.7
 1971     3.8     3.7     3.7     5.1     6.8     9.7    12.0    11.6    10.6     7.8     5.0     4.1     5.2    11.1     7.8     3.8     7.0
 1972     3.8     3.6     4.2     4.8     7.8    12.0    13.8    12.7    11.1     7.7     5.5     4.6     5.6    12.8     8.1     4.5     7.6
 1973     4.2     4.8     4.0     6.0     8.2    11.7    13.6    12.9    12.1     8.5     5.6     4.2     6.1    12.7     8.7     3.9     8.0
 1974     3.8     3.8     4.6     5.9     8.1    11.4    13.0    13.0    11.6     8.9     5.2     4.1     6.2    12.5     8.6     3.9     7.8
 1975     3.7     3.9     3.9     5.0     7.7    11.2    12.9    12.6    12.0     8.9     5.1     4.1     5.5    12.3     8.7     4.4     7.6
 1976     4.2     4.9     4.6     5.2     7.8    11.0    12.8    12.3    11.0     7.8     5.8     4.3     5.9    12.0     8.2     4.0     7.6
 1977     3.8     4.0     4.6     5.5     7.1    10.9    12.6    13.2    11.6     8.4     6.5     4.8     5.7    12.2     8.8     4.1     7.7
 1978     3.7     3.9     3.6     4.9     8.6    10.9    12.7    13.0    11.9     8.3     6.1     4.5     5.7    12.2     8.8     4.3     7.7
 1979     4.3     4.1     3.9     5.4     7.2    10.8    13.4    14.4    12.6     9.6     7.5     5.9     5.5    12.9     9.9     5.1     8.3
 1980     4.5     4.9     4.5     6.2     9.1    11.1    13.1    13.1    12.2     8.9     5.6     4.9     6.6    12.4     8.9     4.7     8.2
 1981     4.5     4.6     4.3     5.3     7.6    11.7    13.2    13.3    12.0     7.7     5.3     4.4     5.8    12.8     8.4     4.5     7.8
 1982     4.6     4.3     3.7     5.1     7.3    10.8    14.4    13.2    11.6     8.7     6.2     4.9     5.4    12.8     8.8     4.2     7.9
 1983     3.9     3.9     4.0     4.6     7.0    10.9    12.7    12.9    12.0     7.9     5.0     4.4     5.2    12.2     8.3     4.0     7.4
 1984     3.8     3.7     4.3     5.4     8.2    10.5    12.7    12.3    10.9     7.8     4.9     4.5     5.9    11.9     7.9     4.2     7.4
 1985     4.1     4.0     5.0     5.6     7.8    11.4    12.5    12.8    11.2     7.5     5.3     4.9     6.1    12.2     8.0     4.3     7.7
 1986     4.0     4.1     3.9     5.1     6.7    10.6    12.0    12.1    11.0     7.6     5.6     4.3     5.2    11.6     8.1     4.5     7.3
 1987     3.9     5.2     5.1     6.1     7.4    12.7    13.3    13.4    12.3     8.7     5.7     5.3     6.2    13.1     8.9     5.1     8.3
 1988     4.9     5.2     4.8     6.3     9.1    11.0    13.8    13.5    12.5     8.3     6.0     5.6     6.8    12.8     8.9     4.6     8.4
 1989     3.9     4.3     4.2     5.3     7.9    10.7    13.0    13.3    12.0     8.6     5.5     4.5     5.8    12.3     8.7     4.6     7.8
 1990     4.4     4.9     4.2     5.4     7.9    11.8    13.3    13.4    12.5     8.2     5.6     4.7     5.8    12.8     8.8     4.6     8.0
 1991     3.8     5.1     4.8     5.3     8.0    11.2    14.4    13.6    12.0     7.9     5.2     4.6     6.0    13.1     8.4     4.2     8.0
 1992     4.0     3.8     4.2     5.1     7.1    10.9    13.7    13.4    11.4     8.3     5.6     4.7     5.5    12.7     8.4     4.7     7.7
 1993     4.3     5.2     4.1     5.4     8.2    12.4    13.5    13.3    12.5     8.4     5.5     4.6     5.9    13.1     8.8     4.6     8.1
 1994     4.5     4.6     4.6     5.3     8.0    11.6    13.6    13.8    12.2     7.8     6.0     4.7     6.0    13.0     8.7     4.8     8.1
 1995     4.2     5.5     5.2     5.8     9.0    13.2    14.6    13.4    11.7     8.1     5.6     5.0     6.7    13.7     8.5     4.8     8.4
 1996     4.7     4.8     5.3     5.5     8.4    12.1    14.1    12.9    12.4     8.0     5.0     3.9     6.4    13.0     8.5     3.9     8.1
 1997     3.8     4.0     4.2     4.9     7.3    10.9    12.8    12.4    11.4     7.2     5.4     4.5     5.5    12.1     8.0     4.2     7.4
 1998     3.7     4.5     3.8     5.2     7.8    11.5    12.9    13.0    12.0     8.8     6.0     4.3     5.6    12.5     8.9     4.1     7.8
 1999     3.6     4.3     4.0     5.4     7.6    10.6    12.5    12.8    11.1     8.4     5.5     4.4     5.7    12.0     8.3     4.1     7.5
 2000     4.1     3.9     3.9     5.2     7.5    10.2    12.7    12.7    11.3     8.2     5.6     4.1     5.5    11.9     8.4     3.8     7.4
 2001     3.5     3.9     3.9     4.9     7.4    10.3    12.4    12.8    11.5     8.2     5.2     4.3     5.4    11.8     8.3     4.0     7.3
 2002     3.7     4.0     4.0     5.2     7.7    10.9    13.3    12.9    11.2     7.9     5.3     4.5     5.6    12.4     8.2     4.1     7.6
 2003     3.6     4.0     3.9     5.1     7.3    11.8    12.5    12.4    11.3     7.7     5.2     4.7     5.4    12.3     8.1     4.1     7.5
 2004     3.8     3.9     4.1     5.7     7.5    10.6    13.4    12.5    11.1     7.8     5.4     4.4     5.7    12.1     8.1     4.3     7.5
 2005     4.1     4.3     4.2     5.1     7.2    11.7    12.5    12.7    11.5     8.2     5.1     4.1     5.5    12.3     8.3     4.1     7.6
