Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
0.78421, 2080-2099, inmcm4, Nov Anomaly, NPL
1.37369, 2080-2099, inmcm4, Dec Anomaly, NPL
3.72923, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
3.67198, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
4.27047, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
4.09623, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
2.83516, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
3.35965, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
2.80748, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
2.42166, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
3.24716, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
4.38095, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
4.71165, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
3.98215, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
5.70164, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
4.08291, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
4.96315, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
4.96648, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
3.88323, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
3.42939, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
3.16223, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
2.81381, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
3.39425, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
4.11448, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
3.35793, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
4.15112, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
0.98961, 2080-2099, ipsl_cm5b_lr, Jan Anomaly, NPL
1.63718, 2080-2099, ipsl_cm5b_lr, Feb Anomaly, NPL
1.01106, 2080-2099, ipsl_cm5b_lr, Mar Anomaly, NPL
2.93511, 2080-2099, ipsl_cm5b_lr, Apr Anomaly, NPL
1.46857, 2080-2099, ipsl_cm5b_lr, May Anomaly, NPL
2.5836, 2080-2099, ipsl_cm5b_lr, Jun Anomaly, NPL
2.48158, 2080-2099, ipsl_cm5b_lr, Jul Anomaly, NPL
2.22022, 2080-2099, ipsl_cm5b_lr, Aug Anomaly, NPL
2.60515, 2080-2099, ipsl_cm5b_lr, Sep Anomaly, NPL
2.89791, 2080-2099, ipsl_cm5b_lr, Oct Anomaly, NPL
3.66323, 2080-2099, ipsl_cm5b_lr, Nov Anomaly, NPL
1.30476, 2080-2099, ipsl_cm5b_lr, Dec Anomaly, NPL
3.14813, 2080-2099, miroc5, Jan Anomaly, NPL
3.45504, 2080-2099, miroc5, Feb Anomaly, NPL
2.97488, 2080-2099, miroc5, Mar Anomaly, NPL
3.38049, 2080-2099, miroc5, Apr Anomaly, NPL
4.01548, 2080-2099, miroc5, May Anomaly, NPL
3.21025, 2080-2099, miroc5, Jun Anomaly, NPL
2.00502, 2080-2099, miroc5, Jul Anomaly, NPL
1.68047, 2080-2099, miroc5, Aug Anomaly, NPL
2.17675, 2080-2099, miroc5, Sep Anomaly, NPL
2.39124, 2080-2099, miroc5, Oct Anomaly, NPL
3.02527, 2080-2099, miroc5, Nov Anomaly, NPL
3.54397, 2080-2099, miroc5, Dec Anomaly, NPL
4.86549, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
4.52811, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
