Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-318.2, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
-318.44, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
-281.62, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
-275.86, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
-226.86, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
-157.97, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
-123.1, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
-104.11, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
-95.539, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
-122.67, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
-187.13, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
-254.06, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
-297.24, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
-201.02, 2080-2099, ipsl_cm5b_lr, Jan Anomaly, NPL
-162.09, 2080-2099, ipsl_cm5b_lr, Feb Anomaly, NPL
-157.15, 2080-2099, ipsl_cm5b_lr, Mar Anomaly, NPL
-132.89, 2080-2099, ipsl_cm5b_lr, Apr Anomaly, NPL
-127.89, 2080-2099, ipsl_cm5b_lr, May Anomaly, NPL
-99.647, 2080-2099, ipsl_cm5b_lr, Jun Anomaly, NPL
-56.621, 2080-2099, ipsl_cm5b_lr, Jul Anomaly, NPL
-59.512, 2080-2099, ipsl_cm5b_lr, Aug Anomaly, NPL
-77.033, 2080-2099, ipsl_cm5b_lr, Sep Anomaly, NPL
-125.27, 2080-2099, ipsl_cm5b_lr, Oct Anomaly, NPL
-193.78, 2080-2099, ipsl_cm5b_lr, Nov Anomaly, NPL
-208.05, 2080-2099, ipsl_cm5b_lr, Dec Anomaly, NPL
-273.94, 2080-2099, miroc5, Jan Anomaly, NPL
-211.52, 2080-2099, miroc5, Feb Anomaly, NPL
-195.4, 2080-2099, miroc5, Mar Anomaly, NPL
-147.47, 2080-2099, miroc5, Apr Anomaly, NPL
-145.11, 2080-2099, miroc5, May Anomaly, NPL
-101.9, 2080-2099, miroc5, Jun Anomaly, NPL
-63.881, 2080-2099, miroc5, Jul Anomaly, NPL
-66.461, 2080-2099, miroc5, Aug Anomaly, NPL
-73.549, 2080-2099, miroc5, Sep Anomaly, NPL
-118.62, 2080-2099, miroc5, Oct Anomaly, NPL
-156.45, 2080-2099, miroc5, Nov Anomaly, NPL
-217.96, 2080-2099, miroc5, Dec Anomaly, NPL
-485.46, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
-248.97, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
-320.29, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
-204.86, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
-151.17, 2080-2099, miroc_esm_chem, May Anomaly, NPL
-113.04, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
-81.941, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
-80.495, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
-91.548, 2080-2099, miroc_esm_chem, Sep Anomaly, NPL
-129.09, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
-191.2, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
-366.5, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
-391.52, 2080-2099, miroc_esm, Jan Anomaly, NPL
-246.82, 2080-2099, miroc_esm, Feb Anomaly, NPL
-291.0, 2080-2099, miroc_esm, Mar Anomaly, NPL
-189.43, 2080-2099, miroc_esm, Apr Anomaly, NPL
-134.48, 2080-2099, miroc_esm, May Anomaly, NPL
-99.362, 2080-2099, miroc_esm, Jun Anomaly, NPL
-75.332, 2080-2099, miroc_esm, Jul Anomaly, NPL
-74.797, 2080-2099, miroc_esm, Aug Anomaly, NPL
-86.558, 2080-2099, miroc_esm, Sep Anomaly, NPL
-133.02, 2080-2099, miroc_esm, Oct Anomaly, NPL
-185.4, 2080-2099, miroc_esm, Nov Anomaly, NPL
-306.41, 2080-2099, miroc_esm, Dec Anomaly, NPL
-322.78, 2080-2099, mpi_esm_lr, Jan Anomaly, NPL
-256.11, 2080-2099, mpi_esm_lr, Feb Anomaly, NPL
-249.19, 2080-2099, mpi_esm_lr, Mar Anomaly, NPL
-156.4, 2080-2099, mpi_esm_lr, Apr Anomaly, NPL
-123.49, 2080-2099, mpi_esm_lr, May Anomaly, NPL
-94.139, 2080-2099, mpi_esm_lr, Jun Anomaly, NPL
-89.5, 2080-2099, mpi_esm_lr, Jul Anomaly, NPL
-87.13, 2080-2099, mpi_esm_lr, Aug Anomaly, NPL
-93.04, 2080-2099, mpi_esm_lr, Sep Anomaly, NPL
-122.07, 2080-2099, mpi_esm_lr, Oct Anomaly, NPL
-197.16, 2080-2099, mpi_esm_lr, Nov Anomaly, NPL
