Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
1.55941, 2020-2039, mpi_esm_mr, Jun Anomaly, NPL
1.423, 2020-2039, mpi_esm_mr, Jul Anomaly, NPL
2.2604, 2020-2039, mpi_esm_mr, Aug Anomaly, NPL
2.41241, 2020-2039, mpi_esm_mr, Sep Anomaly, NPL
1.07138, 2020-2039, mpi_esm_mr, Oct Anomaly, NPL
0.05546, 2020-2039, mpi_esm_mr, Nov Anomaly, NPL
0.1061, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
0.65875, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
1.01199, 2020-2039, mri_cgcm3, May Anomaly, NPL
0.81216, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
0.69626, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
2.11601, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
1.32194, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
0.16106, 2020-2039, mri_cgcm3, Oct Anomaly, NPL
0.00682, 2020-2039, mri_cgcm3, Nov Anomaly, NPL
8.3E-4, 2020-2039, mri_esm1, Feb Anomaly, NPL
0.02532, 2020-2039, mri_esm1, Mar Anomaly, NPL
0.54952, 2020-2039, mri_esm1, Apr Anomaly, NPL
0.51555, 2020-2039, mri_esm1, May Anomaly, NPL
0.62119, 2020-2039, mri_esm1, Jun Anomaly, NPL
0.65119, 2020-2039, mri_esm1, Jul Anomaly, NPL
2.79726, 2020-2039, mri_esm1, Aug Anomaly, NPL
1.17216, 2020-2039, mri_esm1, Sep Anomaly, NPL
0.37389, 2020-2039, mri_esm1, Oct Anomaly, NPL
0.00508, 2020-2039, mri_esm1, Nov Anomaly, NPL
0.01652, 2020-2039, noresm1_m, Mar Anomaly, NPL
0.9407, 2020-2039, noresm1_m, Apr Anomaly, NPL
2.25299, 2020-2039, noresm1_m, May Anomaly, NPL
1.31933, 2020-2039, noresm1_m, Jun Anomaly, NPL
0.26176, 2020-2039, noresm1_m, Jul Anomaly, NPL
0.60729, 2020-2039, noresm1_m, Aug Anomaly, NPL
1.69256, 2020-2039, noresm1_m, Sep Anomaly, NPL
0.8695, 2020-2039, noresm1_m, Oct Anomaly, NPL
0.0409, 2020-2039, noresm1_m, Nov Anomaly, NPL
0.00238, 2020-2039, noresm1_m, Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
-0.0076, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.0666, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.8243, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-1.797, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-1.1309, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-2.19, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
-2.0091, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.1696, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
-0.0054, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
1.2E-4, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
0.12919, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
0.94555, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
2.52355, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
1.84881, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
0.94816, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
1.43934, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
2.55485, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
0.85118, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
0.03965, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.00143, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.01101, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
0.3382, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
2.68392, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
5.08973, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
3.26417, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
3.26495, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
3.74585, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
