Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
3.38337, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, NPL
2.45402, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, NPL
2.7641, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, NPL
4.47665, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, NPL
5.01136, 2040-2059, Ensemble (50th Percentile), May Anomaly, NPL
3.81972, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, NPL
2.42459, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, NPL
1.83845, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, NPL
2.92037, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NPL
4.15068, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NPL
4.27523, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NPL
4.23187, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NPL
9.3411, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NPL
6.41695, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NPL
6.42861, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NPL
8.4583, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NPL
9.37682, 2040-2059, Ensemble (90th Percentile), May Anomaly, NPL
8.87765, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NPL
8.77235, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NPL
7.3391, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NPL
7.97283, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NPL
11.4077, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NPL
11.2404, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NPL
9.47997, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NPL
59.1975, 2040-2059, access1_0, Annual Anomaly, NPL
46.8442, 2040-2059, access1_3, Annual Anomaly, NPL
34.0449, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
35.2773, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
50.6711, 2040-2059, bnu_esm, Annual Anomaly, NPL
48.861, 2040-2059, canesm2, Annual Anomaly, NPL
38.7557, 2040-2059, ccsm4, Annual Anomaly, NPL
30.1257, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
34.2446, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
50.9958, 2040-2059, cmcc_cm, Annual Anomaly, NPL
61.7167, 2040-2059, cmcc_cms, Annual Anomaly, NPL
36.7202, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
60.2222, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
109.385, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
39.589, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
37.6409, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
18.4791, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
54.6256, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
45.6711, 2040-2059, hadgem2_es, Annual Anomaly, NPL
29.0979, 2040-2059, inmcm4, Annual Anomaly, NPL
93.4145, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
71.3471, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
39.7323, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
54.0976, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
46.7001, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
38.2976, 2040-2059, noresm1_m, Annual Anomaly, NPL
28.1893, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
45.3068, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
77.9664, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
