Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.3525, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
1.54677, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
3.18663, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
1.31038, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
4.5972, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
0.13832, 2060-2079, hadgem2_es, Annual Anomaly, NPL
0.04441, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
4.31668, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
0.55589, 2060-2079, miroc5, Annual Anomaly, NPL
3.89155, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
2.36289, 2060-2079, miroc_esm, Annual Anomaly, NPL
1.63836, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
1.95168, 2060-2079, noresm1_m, Annual Anomaly, NPL
-11.172, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
1.2546, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
32.6757, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
