Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-4.9582, 2060-2079, miroc_esm_chem, Nov Anomaly, NPL
-0.3016, 2060-2079, miroc_esm_chem, Dec Anomaly, NPL
2.41297, 2060-2079, miroc_esm, Jan Anomaly, NPL
-4.2761, 2060-2079, miroc_esm, Feb Anomaly, NPL
-1.5104, 2060-2079, miroc_esm, Mar Anomaly, NPL
2.83523, 2060-2079, miroc_esm, Apr Anomaly, NPL
-5.4395, 2060-2079, miroc_esm, May Anomaly, NPL
8.81203, 2060-2079, miroc_esm, Jun Anomaly, NPL
11.9573, 2060-2079, miroc_esm, Jul Anomaly, NPL
5.42892, 2060-2079, miroc_esm, Aug Anomaly, NPL
8.22504, 2060-2079, miroc_esm, Sep Anomaly, NPL
-4.7519, 2060-2079, miroc_esm, Oct Anomaly, NPL
-5.626, 2060-2079, miroc_esm, Nov Anomaly, NPL
-0.454, 2060-2079, miroc_esm, Dec Anomaly, NPL
9.86296, 2060-2079, mpi_esm_lr, Jan Anomaly, NPL
-2.0032, 2060-2079, mpi_esm_lr, Feb Anomaly, NPL
-5.2389, 2060-2079, mpi_esm_lr, Mar Anomaly, NPL
-5.9148, 2060-2079, mpi_esm_lr, Apr Anomaly, NPL
-1.133, 2060-2079, mpi_esm_lr, May Anomaly, NPL
0.01123, 2060-2079, mpi_esm_lr, Jun Anomaly, NPL
6.05866, 2060-2079, mpi_esm_lr, Jul Anomaly, NPL
5.95586, 2060-2079, mpi_esm_lr, Aug Anomaly, NPL
11.3189, 2060-2079, mpi_esm_lr, Sep Anomaly, NPL
7.43405, 2060-2079, mpi_esm_lr, Oct Anomaly, NPL
-3.2154, 2060-2079, mpi_esm_lr, Nov Anomaly, NPL
-4.8759, 2060-2079, mpi_esm_lr, Dec Anomaly, NPL
5.25448, 2060-2079, mpi_esm_mr, Jan Anomaly, NPL
-2.6891, 2060-2079, mpi_esm_mr, Feb Anomaly, NPL
-4.6633, 2060-2079, mpi_esm_mr, Mar Anomaly, NPL
-1.5259, 2060-2079, mpi_esm_mr, Apr Anomaly, NPL
-1.2296, 2060-2079, mpi_esm_mr, May Anomaly, NPL
-15.788, 2060-2079, mpi_esm_mr, Jun Anomaly, NPL
-1.0063, 2060-2079, mpi_esm_mr, Jul Anomaly, NPL
-6.7552, 2060-2079, mpi_esm_mr, Aug Anomaly, NPL
4.57052, 2060-2079, mpi_esm_mr, Sep Anomaly, NPL
11.2385, 2060-2079, mpi_esm_mr, Oct Anomaly, NPL
5.11038, 2060-2079, mpi_esm_mr, Nov Anomaly, NPL
5.54885, 2060-2079, mpi_esm_mr, Dec Anomaly, NPL
3.12056, 2060-2079, mri_cgcm3, Jan Anomaly, NPL
6.395, 2060-2079, mri_cgcm3, Feb Anomaly, NPL
0.68148, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
-0.1055, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
2.01096, 2060-2079, mri_cgcm3, May Anomaly, NPL
5.85057, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
14.6651, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
1.45735, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
14.2945, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
-3.2454, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
-5.281, 2060-2079, mri_cgcm3, Nov Anomaly, NPL
-2.3428, 2060-2079, mri_cgcm3, Dec Anomaly, NPL
-3.4026, 2060-2079, mri_esm1, Jan Anomaly, NPL
-3.1144, 2060-2079, mri_esm1, Feb Anomaly, NPL
-0.4861, 2060-2079, mri_esm1, Mar Anomaly, NPL
1.16468, 2060-2079, mri_esm1, Apr Anomaly, NPL
0.8755, 2060-2079, mri_esm1, May Anomaly, NPL
6.23719, 2060-2079, mri_esm1, Jun Anomaly, NPL
13.411, 2060-2079, mri_esm1, Jul Anomaly, NPL
9.44408, 2060-2079, mri_esm1, Aug Anomaly, NPL
8.96433, 2060-2079, mri_esm1, Sep Anomaly, NPL
-2.258, 2060-2079, mri_esm1, Oct Anomaly, NPL
3.27443, 2060-2079, mri_esm1, Nov Anomaly, NPL
5.80846, 2060-2079, mri_esm1, Dec Anomaly, NPL
3.2826, 2060-2079, noresm1_m, Jan Anomaly, NPL
-3.8826, 2060-2079, noresm1_m, Feb Anomaly, NPL
-3.8971, 2060-2079, noresm1_m, Mar Anomaly, NPL
-2.8707, 2060-2079, noresm1_m, Apr Anomaly, NPL
2.15056, 2060-2079, noresm1_m, May Anomaly, NPL
1.06074, 2060-2079, noresm1_m, Jun Anomaly, NPL
25.0137, 2060-2079, noresm1_m, Jul Anomaly, NPL
10.1287, 2060-2079, noresm1_m, Aug Anomaly, NPL
8.6782, 2060-2079, noresm1_m, Sep Anomaly, NPL
5.88921, 2060-2079, noresm1_m, Oct Anomaly, NPL
-10.205, 2060-2079, noresm1_m, Nov Anomaly, NPL
-2.4285, 2060-2079, noresm1_m, Dec Anomaly, NPL
-6.4411, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
-7.8796, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
-7.2849, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
-5.0059, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
-6.7694, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
-15.972, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
-23.528, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
-19.025, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
-8.3148, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
-13.967, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
-13.107, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
-7.1682, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
-0.5972, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
-1.3844, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
-1.9512, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.3762, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
0.51745, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
5.00303, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
11.0152, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
10.7415, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
7.67865, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
