Local time in Surkhet,T,Po,P,Pa,U,DD,Ff,N,W1,Tn,Tx,Nh,H,VV,Td,RRR,tR
13.05.2021 17:45,25.7,695.8,751.9,-0.9,64,Wind blowing from the south-southwest,1,40%.,,,28.8,20–30%.,300-600,10,18.3,0.1,9
13.05.2021 14:45,28,696.7,754.1,-1.2,55,,,,,,,20–30%.,600-1000,10,18.2,,
13.05.2021 11:45,25.5,697.9,755.2,-0.3,62,Wind blowing from the south,1,"90  or more, but not 100%",,,,20–30%.,300-600,10,17.6,,
13.05.2021 08:45,21,698.2,755.6,1.1,82,Wind blowing from the west,2,60%.,,17,,40%.,600-1000,10,17.8,23,24
13.05.2021 05:45,17.2,697.1,754.5,,97,,,,,,,20–30%.,600-1000,10,16.7,,
12.05.2021 17:45,24.1,693.9,751.3,-1.9,75,Wind blowing from the west-southwest,1,50%.,Thunderstorm(s) with or without precipitation.,,26.4,"10%  or less, but not 0",1000-1500,10,19.3,13,9
12.05.2021 14:45,21.6,695.8,753.2,-0.9,87,Wind blowing from the east,1,"90  or more, but not 100%",Thunderstorm(s) with or without precipitation.,,,,300-600,10,19.3,,
12.05.2021 11:45,24.6,696.7,754.1,-0.5,68,,,,Thunderstorm(s) with or without precipitation.,,,60%.,300-600,10,18.2,,
12.05.2021 08:45,20.4,697.2,754.6,-0.3,82,Wind blowing from the south,2,40%.,Rain.,17.2,,"10%  or less, but not 0",600-1000,10,17.2,20,24
12.05.2021 05:45,17.8,697.5,754.9,,96,Wind blowing from the north-northeast,1,100%.,Thunderstorm(s) with or without precipitation.,,,60%.,600-1000,9,17.2,,
11.05.2021 17:45,22,695.9,751.6,,77,Wind blowing from the east,3,100%.,Thunderstorm(s) with or without precipitation.,,31.6,70 – 80%.,200-300,10,17.8,0.7,9
11.05.2021 11:45,30,697.8,754.6,-0.7,50,Wind blowing from the west-southwest,2,40%.,,,,20–30%.,300-600,10,18.6,,
11.05.2021 08:45,25.3,698.5,755.3,0.7,65,Wind blowing from the south-southeast,2,50%.,,20.2,,20–30%.,600-1000,10,18.3,,
11.05.2021 05:45,20.4,697.8,754.6,,86,,,,,,,no clouds,"2500 or more, or no clouds.",10,17.9,,
10.05.2021 17:45,28.8,696.1,751.9,,50,Wind blowing from the west-northwest,2,50%.,,,30.9,20–30%.,300-600,10,17.4,No precipitation,9
10.05.2021 08:45,22.6,698.9,756.1,,73,Wind blowing from the west,2,20–30%.,,17.4,,no clouds,"2500 or more, or no clouds.",10,17.5,9,24
10.05.2021 05:45,17.8,698.8,756,,95,Wind blowing from the east,2,40%.,Thunderstorm(s) with or without precipitation.,,,40%.,600-1000,10,17,,
09.05.2021 17:45,30,696.1,751.9,-1,51,Wind blowing from the west,1,40%.,,,31.8,20–30%.,300-600,10,18.8,No precipitation,9
09.05.2021 14:45,30.6,697.1,754.5,-2.3,50,Wind blowing from the south,2,50%.,,,,40%.,200-300,10,19.1,,
09.05.2021 11:45,29.7,699.4,756.8,-1.5,53,Wind blowing from the south-west,2,40%.,,,,40%.,300-600,10,19.2,,
09.05.2021 08:45,23.4,700.9,758.3,1.3,69,Wind blowing from the east,2,20–30%.,,18.4,,20–30%.,600-1000,10,17.3,No precipitation,24
09.05.2021 05:45,18.5,699.6,757,,86,Wind blowing from the north-northeast,1,"10%  or less, but not 0",,,,no clouds,"2500 or more, or no clouds.",10,16.1,,
08.05.2021 14:45,31.6,698.3,754.3,-2.3,45,Wind blowing from the south,5,50%.,,,,50%.,600-1000,10,18.2,,
08.05.2021 11:45,30.3,700.6,756.6,-0.7,50,Wind blowing from the west,2,20–30%.,,,,20–30%.,600-1000,12,18.8,,
08.05.2021 08:45,25,701.3,758.5,1.1,63,Wind blowing from the south-southeast,2,"10%  or less, but not 0",,18.4,,"10%  or less, but not 0",1000-1500,10,17.4,No precipitation,24
08.05.2021 05:45,18.5,700.2,756.4,,92,"Calm, no wind",0,"10%  or less, but not 0",,,,no clouds,"2500 or more, or no clouds.",12,17.1,,
07.05.2021 17:45,28.9,698.4,754.6,-2.5,52,Wind blowing from the west,3,20–30%.,,,29.7,no clouds,"2500 or more, or no clouds.",12,18.1,No precipitation,9
07.05.2021 14:45,28.6,700.9,757,-1.4,51,,,,,,,40%.,1000-1500,10,17.6,,
07.05.2021 11:45,26.7,702.3,758.7,1,61,Wind blowing from the north-northeast,2,"90  or more, but not 100%",,,,50%.,600-1000,10,18.5,,
07.05.2021 08:45,23,701.3,757.7,1.5,71,,,,,18.4,,20–30%.,600-1000,12,17.4,15,24
07.05.2021 05:45,18.9,699.8,755.5,,88,Wind blowing from the north-east,2,70 – 80%.,Thunderstorm(s) with or without precipitation.,,,40%.,600-1000,15,16.8,,
06.05.2021 17:45,28.9,697.5,753.1,-1.6,61,Wind blowing from the west,3,60%.,,,32.2,20–30%.,600-1000,8,20.5,No precipitation,9
06.05.2021 14:45,31.7,699.1,755.1,-1.8,49,Wind blowing from the south,4,60%.,,,,50%.,300-600,9,19.6,,
06.05.2021 11:45,29.2,700.9,757,-0.2,56,Wind blowing from the west,2,20–30%.,,,,20–30%.,600-1000,8,19.4,,
06.05.2021 08:45,23.6,701.1,757.1,1.4,78,Wind blowing from the north-east,3,60%.,,19.5,,50%.,600-1000,8,19.6,17,24
06.05.2021 05:45,19.6,699.7,755.7,,91,"Calm, no wind",0,40%.,,,,40%.,600-1000,7,18.1,,
05.05.2021 17:45,28.1,697,753,-1.4,60,Wind blowing from the north-east,2,60%.,,,29.2,20–30%.,600-1000,10,19.5,17,9
05.05.2021 14:45,28.4,698.4,754.6,-1.8,57,Wind blowing from the south-east,3,50%.,,,,40%.,600-1000,10,19.2,,
05.05.2021 11:45,23.6,700.2,758,-1.1,72,Wind blowing from the south,3,60%.,Thunderstorm(s) with or without precipitation.,,,20–30%.,600-1000,10,18.2,,
