Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
8.63696, 2020-2039, miroc5, Annual Anomaly, NPL
6.91225, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
3.02142, 2020-2039, miroc_esm, Annual Anomaly, NPL
6.28681, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
3.89732, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
8.0366, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
9.19461, 2020-2039, noresm1_m, Annual Anomaly, NPL
-28.533, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
2.47536, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
75.6838, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
